node,dx,dy,tile,px,py,c_o,dim,time
8,1,256,282,8,4,c,1,0.098
8,1,256,707,1,32,o,1,0.055
8,1,256,707,8,4,c,1,0.098
8,1,256,1414,1,32,o,1,0.07
8,1,256,1414,8,4,c,1,0.103
8,1,256,2121,1,32,o,1,0.119
8,1,256,2121,8,4,c,1,0.156
8,1,256,2828,1,32,o,1,0.188
8,1,256,2828,8,4,c,1,0.233
8,2,128,3535,1,32,o,1,0.349
8,2,128,3535,8,4,c,1,0.3465
8,2,128,141,1,32,o,1,0.054
8,2,128,141,8,4,c,1,0.0985
8,2,128,282,1,32,o,1,0.0545
8,2,128,282,8,4,c,1,0.098
8,2,128,707,1,32,o,1,0.055
8,2,128,707,8,4,c,1,0.098
8,2,128,1414,1,32,o,1,0.07
8,2,128,1414,8,4,c,1,0.098
8,2,128,2121,1,32,o,1,0.119
8,2,128,2121,8,4,c,1,0.149
8,2,128,2828,1,32,o,1,0.188
8,2,128,2828,8,4,c,1,0.221
8,4,64,3535,1,32,o,1,0.3505
8,4,64,3535,8,4,c,1,0.35
8,4,64,141,1,32,o,1,0.054
8,4,64,141,8,4,c,1,0.099
8,4,64,282,1,32,o,1,0.0545
8,4,64,282,8,4,c,1,0.098
8,4,64,707,1,32,o,1,0.055
8,4,64,707,8,4,c,1,0.097
8,4,64,1414,1,32,o,1,0.07
8,4,64,1414,8,4,c,1,0.097
8,4,64,2121,1,32,o,1,0.119
8,4,64,2121,8,4,c,1,0.146
8,4,64,2828,1,32,o,1,0.189
8,4,64,2828,8,4,c,1,0.216
8,8,32,3535,2,16,o,1,0.351
8,8,32,3535,8,4,c,1,0.3525
8,8,32,141,2,16,o,1,0.07
8,8,32,141,8,4,c,1,0.098
8,8,32,282,2,16,o,1,0.07
8,8,32,282,8,4,c,1,0.099
8,8,32,707,2,16,o,1,0.07
8,8,32,707,8,4,c,1,0.098
8,8,32,1414,2,16,o,1,0.08
8,8,32,1414,8,4,c,1,0.096
8,8,32,2121,2,16,o,1,0.1295
8,8,32,2121,8,4,c,1,0.144
8,8,32,2828,2,16,o,1,0.199
8,8,32,2828,8,4,c,1,0.213
8,16,16,3535,4,8,o,1,0.3485
8,16,16,3535,4,8,o,2,0.348
8,16,16,3535,8,4,c,1,0.3485
8,16,16,141,4,8,o,1,0.092
8,16,16,141,4,8,o,2,0.083
8,16,16,141,8,4,c,1,0.099
8,16,16,282,4,8,o,1,0.093
8,16,16,282,4,8,o,2,0.0835
8,16,16,282,8,4,c,1,0.099
8,16,16,707,4,8,o,1,0.092
8,16,16,707,4,8,o,2,0.082
8,16,16,707,8,4,c,1,0.098
8,16,16,1414,4,8,o,1,0.093
8,16,16,1414,4,8,o,2,0.089
8,16,16,1414,8,4,c,1,0.096
8,16,16,2121,4,8,o,1,0.142
8,16,16,2121,4,8,o,2,0.1355
8,16,16,2121,8,4,c,1,0.145
8,16,16,2828,4,8,o,1,0.212
8,16,16,2828,4,8,o,2,0.206
8,16,16,2828,8,4,c,1,0.215
8,32,8,3535,8,4,o,1,0.3475
8,32,8,3535,8,4,o,2,0.351
8,32,8,3535,8,4,c,1,0.348
8,32,8,141,8,4,o,1,0.098
8,32,8,141,8,4,o,2,0.083
8,32,8,141,8,4,c,1,0.098
8,32,8,282,8,4,o,1,0.099
8,32,8,282,8,4,o,2,0.084
8,32,8,282,8,4,c,1,0.099
8,32,8,707,8,4,o,1,0.0975
8,32,8,707,8,4,o,2,0.082
8,32,8,707,8,4,c,1,0.098
8,32,8,1414,8,4,o,1,0.097
8,32,8,1414,8,4,o,2,0.088
8,32,8,1414,8,4,c,1,0.097
8,32,8,2121,8,4,o,1,0.145
8,32,8,2121,8,4,o,2,0.136
8,32,8,2121,8,4,c,1,0.1455
8,32,8,2828,8,4,o,1,0.216
8,32,8,2828,8,4,o,2,0.206
8,32,8,2828,8,4,c,1,0.216
8,64,4,3535,16,2,o,1,0.351
8,64,4,3535,16,2,o,2,0.3545
8,64,4,3535,8,4,c,1,0.3485
8,64,4,141,16,2,o,1,0.08
8,64,4,141,16,2,o,2,0.07
8,64,4,141,8,4,c,1,0.099
8,64,4,282,16,2,o,1,0.08
8,64,4,282,16,2,o,2,0.07
8,64,4,282,8,4,c,1,0.0985
8,64,4,707,16,2,o,1,0.08
8,64,4,707,16,2,o,2,0.071
8,64,4,707,8,4,c,1,0.098
8,64,4,1414,16,2,o,1,0.086
8,64,4,1414,16,2,o,2,0.079
8,64,4,1414,8,4,c,1,0.099
8,64,4,2121,16,2,o,1,0.133
8,64,4,2121,16,2,o,2,0.129
8,64,4,2121,8,4,c,1,0.148
8,64,4,2828,16,2,o,1,0.204
8,64,4,2828,16,2,o,2,0.198
8,64,4,2828,8,4,c,1,0.22
8,128,2,3535,32,1,o,1,0.354
8,128,2,3535,8,4,c,1,0.349
8,128,2,141,32,1,o,1,0.054
8,128,2,141,8,4,c,1,0.099
8,128,2,282,32,1,o,1,0.055
8,128,2,282,8,4,c,1,0.099
8,128,2,707,32,1,o,1,0.055
8,128,2,707,8,4,c,1,0.098
8,128,2,1414,32,1,o,1,0.07
8,128,2,1414,8,4,c,1,0.104
8,128,2,2121,32,1,o,1,0.119
8,128,2,2121,8,4,c,1,0.158
8,128,2,2828,32,1,o,1,0.189
8,128,2,2828,8,4,c,1,0.2405
8,256,1,3535,32,1,o,1,0.3515
8,256,1,3535,8,4,c,1,0.444
8,256,1,141,32,1,o,1,0.054
8,256,1,141,8,4,c,1,0.098
8,256,1,282,32,1,o,1,0.055
8,256,1,282,8,4,c,1,0.0985
8,256,1,707,32,1,o,1,0.055
8,256,1,707,8,4,c,1,0.098
8,256,1,1414,32,1,o,1,0.07
8,256,1,1414,8,4,c,1,0.1205
8,256,1,2121,32,1,o,1,0.119
8,256,1,2121,8,4,c,1,0.194
8,256,1,2828,32,1,o,1,0.188
8,256,1,2828,8,4,c,1,0.3055
16,1,256,5000,1,64,o,1,0.276
16,1,256,5000,8,8,c,1,0.323
16,1,256,200,1,64,o,1,0.062
16,1,256,200,8,8,c,1,0.106
16,1,256,400,1,64,o,1,0.062
16,1,256,400,8,8,c,1,0.105
16,1,256,1000,1,64,o,1,0.06
16,1,256,1000,8,8,c,1,0.103
16,1,256,2000,1,64,o,1,0.074
16,1,256,2000,8,8,c,1,0.106
16,1,256,3000,1,64,o,1,0.124
16,1,256,3000,8,8,c,1,0.162
16,1,256,4000,1,64,o,1,0.191
16,1,256,4000,8,8,c,1,0.235
16,2,128,5000,1,64,o,1,0.276
16,2,128,5000,8,8,c,1,0.312
16,2,128,200,1,64,o,1,0.062
16,2,128,200,8,8,c,1,0.106
16,2,128,400,1,64,o,1,0.062
16,2,128,400,8,8,c,1,0.105
16,2,128,1000,1,64,o,1,0.06
16,2,128,1000,8,8,c,1,0.103
16,2,128,2000,1,64,o,1,0.074
16,2,128,2000,8,8,c,1,0.103
16,2,128,3000,1,64,o,1,0.123
16,2,128,3000,8,8,c,1,0.156
16,2,128,4000,1,64,o,1,0.191
16,2,128,4000,8,8,c,1,0.227
16,4,64,5000,2,32,o,1,0.287
16,4,64,5000,8,8,c,1,0.3075
16,4,64,200,2,32,o,1,0.078
16,4,64,200,8,8,c,1,0.106
16,4,64,400,2,32,o,1,0.077
16,4,64,400,8,8,c,1,0.105
16,4,64,1000,2,32,o,1,0.075
16,4,64,1000,8,8,c,1,0.103
16,4,64,2000,2,32,o,1,0.087
16,4,64,2000,8,8,c,1,0.1025
16,4,64,3000,2,32,o,1,0.134
16,4,64,3000,8,8,c,1,0.153
16,4,64,4000,2,32,o,1,0.20350000000000001
16,4,64,4000,8,8,c,1,0.222
16,8,32,5000,4,16,o,1,0.3025
16,8,32,5000,4,16,o,2,0.296
16,8,32,5000,8,8,c,1,0.306
16,8,32,200,4,16,o,1,0.1
16,8,32,200,4,16,o,2,0.09
16,8,32,200,8,8,c,1,0.106
16,8,32,400,4,16,o,1,0.099
16,8,32,400,4,16,o,2,0.09
16,8,32,400,8,8,c,1,0.105
16,8,32,1000,4,16,o,1,0.097
16,8,32,1000,4,16,o,2,0.088
16,8,32,1000,8,8,c,1,0.103
16,8,32,2000,4,16,o,1,0.099
16,8,32,2000,4,16,o,2,0.091
16,8,32,2000,8,8,c,1,0.102
16,8,32,3000,4,16,o,1,0.149
16,8,32,3000,4,16,o,2,0.142
16,8,32,3000,8,8,c,1,0.153
16,8,32,4000,4,16,o,1,0.218
16,8,32,4000,4,16,o,2,0.212
16,8,32,4000,8,8,c,1,0.221
16,16,16,5000,8,8,o,1,0.307
16,16,16,5000,8,8,o,2,0.302
16,16,16,5000,8,8,c,1,0.307
16,16,16,200,8,8,o,1,0.106
16,16,16,200,8,8,o,2,0.102
16,16,16,200,8,8,c,1,0.106
16,16,16,400,8,8,o,1,0.105
16,16,16,400,8,8,o,2,0.101
16,16,16,400,8,8,c,1,0.105
16,16,16,1000,8,8,o,1,0.103
16,16,16,1000,8,8,o,2,0.099
16,16,16,1000,8,8,c,1,0.103
16,16,16,2000,8,8,o,1,0.103
