node,dx,dy,tile,px,py,c_o,dim,time
4,2,128,1500,4,4,c,1,0.16
4,2,128,2000,1,16,o,1,0.218
4,2,128,2000,4,4,c,1,0.244
4,2,128,2500,1,16,o,1,0.367
4,2,128,2500,4,4,c,1,0.395
4,4,64,100,1,16,o,1,0.048
4,4,64,100,4,4,c,1,0.086
4,4,64,200,1,16,o,1,0.049
4,4,64,200,4,4,c,1,0.08549999999999999
4,4,64,500,1,16,o,1,0.048
4,4,64,500,4,4,c,1,0.085
4,4,64,1000,1,16,o,1,0.0755
4,4,64,1000,4,4,c,1,0.097
4,4,64,1500,1,16,o,1,0.135
4,4,64,1500,4,4,c,1,0.158
4,4,64,2000,1,16,o,1,0.219
4,4,64,2000,4,4,c,1,0.243
4,4,64,2500,1,16,o,1,0.365
4,4,64,2500,4,4,c,1,0.392
4,8,32,100,2,8,o,1,0.064
4,8,32,100,4,4,c,1,0.086
4,8,32,200,2,8,o,1,0.064
4,8,32,200,4,4,c,1,0.086
4,8,32,500,2,8,o,1,0.062
4,8,32,500,4,4,c,1,0.085
4,8,32,1000,2,8,o,1,0.086
4,8,32,1000,4,4,c,1,0.098
4,8,32,1500,2,8,o,1,0.144
4,8,32,1500,4,4,c,1,0.157
4,8,32,2000,2,8,o,1,0.228
4,8,32,2000,4,4,c,1,0.241
4,8,32,2500,2,8,o,1,0.38
4,8,32,2500,4,4,c,1,0.39
4,16,16,100,4,4,o,1,0.086
4,16,16,100,4,4,o,2,0.064
4,16,16,100,4,4,c,1,0.086
4,16,16,200,4,4,o,1,0.086
4,16,16,200,4,4,o,2,0.064
4,16,16,200,4,4,c,1,0.085
4,16,16,500,4,4,o,1,0.085
4,16,16,500,4,4,o,2,0.062
4,16,16,500,4,4,c,1,0.085
4,16,16,1000,4,4,o,1,0.1
4,16,16,1000,4,4,o,2,0.088
4,16,16,1000,4,4,c,1,0.099
4,16,16,1500,4,4,o,1,0.159
4,16,16,1500,4,4,o,2,0.147
4,16,16,1500,4,4,c,1,0.159
4,16,16,2000,4,4,o,1,0.244
4,16,16,2000,4,4,o,2,0.232
4,16,16,2000,4,4,c,1,0.244
4,16,16,2500,4,4,o,1,0.396
4,16,16,2500,4,4,o,2,0.3835
4,16,16,2500,4,4,c,1,0.398
4,32,8,100,8,2,o,1,0.067
4,32,8,100,8,2,o,2,0.064
4,32,8,100,4,4,c,1,0.086
4,32,8,200,8,2,o,1,0.067
4,32,8,200,8,2,o,2,0.064
4,32,8,200,4,4,c,1,0.08549999999999999
4,32,8,500,8,2,o,1,0.066
4,32,8,500,8,2,o,2,0.062
4,32,8,500,4,4,c,1,0.085
4,32,8,1000,8,2,o,1,0.088
4,32,8,1000,8,2,o,2,0.085
4,32,8,1000,4,4,c,1,0.106
4,32,8,1500,8,2,o,1,0.1475
4,32,8,1500,8,2,o,2,0.144
4,32,8,1500,4,4,c,1,0.17
4,32,8,2000,8,2,o,1,0.232
4,32,8,2000,8,2,o,2,0.228
4,32,8,2000,4,4,c,1,0.262
4,32,8,2500,8,2,o,1,0.385
4,32,8,2500,8,2,o,2,0.368
4,32,8,2500,4,4,c,1,0.419
4,64,4,100,16,1,o,1,0.048
4,64,4,100,4,4,c,1,0.086
4,64,4,200,16,1,o,1,0.049
4,64,4,200,4,4,c,1,0.086
4,64,4,500,16,1,o,1,0.048
4,64,4,500,4,4,c,1,0.084
4,64,4,1000,16,1,o,1,0.075
4,64,4,1000,4,4,c,1,0.125
4,64,4,1500,16,1,o,1,0.135
4,64,4,1500,4,4,c,1,0.1995
4,64,4,2000,16,1,o,1,0.218
4,64,4,2000,4,4,c,1,0.3035
4,64,4,2500,16,1,o,1,0.3655
4,64,4,2500,4,4,c,1,0.469
4,128,2,100,16,1,o,1,0.048
4,128,2,100,4,4,c,1,0.086
4,128,2,200,16,1,o,1,0.049
4,128,2,200,4,4,c,1,0.085
4,128,2,500,16,1,o,1,0.048
4,128,2,500,4,4,c,1,0.088
4,128,2,1000,16,1,o,1,0.074
4,128,2,1000,4,4,c,1,0.168
4,128,2,1500,16,1,o,1,0.1335
4,128,2,1500,4,4,c,1,0.258
4,128,2,2000,16,1,o,1,0.218
4,128,2,2000,4,4,c,1,0.494
4,128,2,2500,16,1,o,1,0.369
4,128,2,2500,4,4,c,1,0.9315
4,256,1,100,16,1,o,1,0.048
4,256,1,100,4,4,c,1,0.085
4,256,1,200,16,1,o,1,0.049
4,256,1,200,4,4,c,1,0.086
4,256,1,500,16,1,o,1,0.048
4,256,1,500,4,4,c,1,0.123
4,256,1,1000,16,1,o,1,0.074
4,256,1,1000,4,4,c,1,0.279
4,256,1,1500,16,1,o,1,0.135
4,256,1,1500,4,4,c,1,0.544
4,256,1,2000,16,1,o,1,0.22
4,256,1,2000,4,4,c,1,0.876
4,256,1,2500,16,1,o,1,0.374
4,256,1,2500,4,4,c,1,1.2985
8,1,256,141,1,32,o,1,0.054
8,1,256,141,8,4,c,1,0.098
8,1,256,282,1,32,o,1,0.055
8,1,256,282,8,4,c,1,0.098
8,1,256,707,1,32,o,1,0.055
8,1,256,707,8,4,c,1,0.097
8,1,256,2121,1,32,o,1,0.19
8,1,256,2121,8,4,c,1,0.217
8,1,256,1414,1,32,o,1,0.078
8,1,256,1414,8,4,c,1,0.128
8,1,256,2828,1,32,o,1,0.222
8,1,256,2828,8,4,c,1,0.314
8,1,256,3535,1,32,o,1,0.323
8,1,256,3535,8,4,c,1,0.447
8,2,128,141,1,32,o,1,0.054
8,2,128,141,8,4,c,1,0.098
8,2,128,282,1,32,o,1,0.055
8,2,128,282,8,4,c,1,0.098
8,2,128,707,1,32,o,1,0.055
8,2,128,707,8,4,c,1,0.098
8,2,128,1414,1,32,o,1,0.078
8,2,128,1414,8,4,c,1,0.115
8,2,128,2121,1,32,o,1,0.19
8,2,128,2121,8,4,c,1,0.202
